date,prediction
2014-12-08 15:00:00,24.829677576782398
2014-12-08 16:00:00,25.153642385898408
2014-12-08 17:00:00,25.893778677861853
2014-12-08 18:00:00,20.11877392558976
2014-12-09 00:00:00,19.52313911702988
2014-12-09 06:00:00,18.767880220008472
2014-12-09 12:00:00,23.77692169278894
2014-12-09 18:00:00,27.759567280844465
2014-12-10 00:00:00,25.1977604789818
2014-12-10 06:00:00,23.259058108036903
2014-12-10 12:00:00,21.472540508280957
2014-12-10 18:00:00,26.222597513650502
2014-12-11 00:00:00,25.950941054888904
2014-12-11 06:00:00,24.545005589898754
2014-12-11 12:00:00,20.96518282708149
2014-12-11 18:00:00,23.546733325255502
2014-12-11 22:00:00,25.09351519417286
2014-12-11 23:00:00,26.317196606981383
2014-12-12 00:00:00,22.862418578709118
